method,sim_seed,N_sim,total_wait,mean_wait_all,mean_wait_served,mean_oracle_outcome_served,num_unserved,frac_unserved,sim_wall_s,alloc_0,alloc_1,N,ipw_value
F,3,1000,972.0548924098132,0.9720548924098132,0.9720548924098132,,0,0.0,0.002419710159301758,0.917,0.083,200,20.029018655231894
S2-linear,3,1000,58768.307468764724,58.768307468764725,58.768307468764725,,0,0.0,0.0024023056030273438,0.624,0.376,200,13.720091897120557
S2-lasso,3,1000,63593.21201890454,63.59321201890454,63.59321201890454,,0,0.0,0.002444028854370117,0.622,0.378,200,14.934486662043108
S2-knn,3,1000,32.26944969802056,0.03226944969802056,0.03226944969802056,,0,0.0,0.0024385452270507812,0.82,0.18,200,20.753954279272282
random,4,1000,140511.1536472406,140.5111536472406,124.80569804045048,,40,0.04,0.003621816635131836,0.504,0.496,200,12.197121356427091
treat_all,4,1000,634025.2931005989,634.0252931005989,481.8191380760083,,544,0.544,0.002149343490600586,0.0,1.0,200,2.1439523396007845
F,4,1000,1140.594250061062,1.140594250061062,1.140594250061062,,0,0.0,0.002378702163696289,0.927,0.073,200,20.029018655231894
S2-linear,4,1000,32768.61469402257,32.768614694022574,32.768614694022574,,0,0.0,0.0023632049560546875,0.631,0.369,200,13.720091897120557
S2-lasso,4,1000,28555.643514356067,28.555643514356067,28.555643514356067,,0,0.0,0.0023686885833740234,0.636,0.364,200,14.934486662043108
S2-knn,4,1000,18.975498880376716,0.018975498880376716,0.018975498880376716,,0,0.0,0.0024328231811523438,0.828,0.172,200,20.753954279272282
random,5,1000,202286.15441116097,202.28615441116096,155.0731153275392,,109,0.109,0.003659486770629883,0.473,0.527,200,12.197121356427091
treat_all,5,1000,659237.0559170617,659.2370559170618,515.0684284736575,,582,0.582,0.0021550655364990234,0.0,1.0,200,2.1439523396007845
F,5,1000,0.14666228099810663,0.00014666228099810663,0.00014666228099810663,,0,0.0,0.0024030208587646484,0.931,0.069,200,20.029018655231894
S2-linear,5,1000,62658.42760697042,62.65842760697042,62.65842760697042,,0,0.0,0.002368927001953125,0.621,0.379,200,13.720091897120557
S2-lasso,5,1000,58123.41857574303,58.12341857574303,58.12341857574303,,0,0.0,0.002345561981201172,0.627,0.373,200,14.934486662043108
S2-knn,5,1000,2.599156632315755,0.002599156632315755,0.002599156632315755,,0,0.0,0.002397298812866211,0.835,0.165,200,20.753954279272282
random,6,1000,183611.15162593333,183.61115162593333,145.1813996566078,,89,0.089,0.0036194324493408203,0.501,0.499,200,12.197121356427091
