method,sim_seed,N_sim,total_wait,mean_wait_all,mean_wait_served,mean_oracle_outcome_served,num_unserved,frac_unserved,sim_wall_s,alloc_0,alloc_1,alloc_2,alloc_3,alloc_4,alloc_5,alloc_6,alloc_7,alloc_8,alloc_9
random,0,200,6131.998213496101,30.659991067480505,30.659991067480505,20.018146649207395,0,0.0,0.0031669139862060547,0.095,0.075,0.1,0.085,0.125,0.09,0.09,0.11,0.15,0.08
oracle_greedy_no_cap,0,200,142549.75126637166,712.7487563318583,534.1244146714128,36.71964013564922,107,0.535,0.0024199485778808594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
G,0,200,7244.530145350538,36.22265072675269,36.22265072675269,18.26315845951296,0,0.0,0.003431081771850586,0.1,0.1,0.13,0.16,0.065,0.095,0.07,0.085,0.09,0.105
F,0,200,6737.208888187254,33.68604444093627,33.68604444093627,19.506658271837882,0,0.0,0.003065824508666992,0.11,0.09,0.155,0.075,0.04,0.08,0.135,0.085,0.105,0.125
S2-linear,0,200,7992.761223269186,39.96380611634593,39.96380611634593,19.263814098214834,0,0.0,0.0024640560150146484,0.05,0.14,0.11,0.075,0.125,0.075,0.145,0.135,0.08,0.065
S2-lasso,0,200,62305.58411167301,311.52792055836505,266.5677194276292,26.618928241011098,16,0.08,0.002418041229248047,0.13,0.0,0.06,0.0,0.0,0.08,0.0,0.0,0.64,0.09
S2-tree,0,200,6549.594135871526,32.74797067935763,32.74797067935763,20.065071092236874,0,0.0,0.0024051666259765625,0.105,0.1,0.11,0.095,0.135,0.055,0.045,0.11,0.14,0.105
S2-knn,0,200,7890.822458795065,39.45411229397533,39.45411229397533,19.26432646385667,0,0.0,0.0022411346435546875,0.055,0.13,0.07,0.17,0.115,0.13,0.06,0.095,0.095,0.08
S2-dr,0,200,63156.47303002914,315.7823651501457,264.8175033752583,16.383955431388465,18,0.09,0.0023500919342041016,0.12,0.0,0.11,0.0,0.605,0.085,0.0,0.0,0.0,0.08
